person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status
23,90893,0,10000,13.47,0.11,4,591,0
23,92220,1,10000,15.37,0.11,3,646,0
23,91003,0,4500,11.01,0.05,4,695,0
26,90930,3,10000,8.94,0.11,2,644,0
26,92502,3,10000,10.71,0.11,3,620,0
24,90945,4,7200,11.01,0.08,3,652,0
24,91117,0,9000,8.59,0.1,4,652,0
22,94514,1,10000,12.42,0.11,2,563,0
21,94537,1,10000,5.99,0.11,2,622,0
23,94754,0,10000,5.79,0.11,3,559,0
23,94934,1,10000,7.49,0.11,2,621,0
26,95182,1,10000,8.94,0.11,4,618,0
24,91112,1,10000,11.26,0.11,4,636,0
24,90825,4,15000,11.58,0.17,3,642,0
26,90829,7,3000,9.63,0.03,3,657,0
25,90695,4,6000,9.63,0.07,4,649,0
25,90903,0,15000,9.63,0.17,3,640,0
22,90970,1,5600,8,0.06,2,631,0
22,95923,0,10000,7.88,0.1,2,601,0
22,89566,0,10000,7.51,0.11,2,625,1
24,96823,1,10000,11.01,0.1,4,698,0
23,90806,1,3200,8,0.04,3,610,0
22,96831,1,10000,14.27,0.1,2,520,0
23,90979,1,3000,14.11,0.03,3,554,0
23,90816,0,16800,13.47,0.18,4,640,0
25,90932,5,5000,13.79,0.05,4,619,0
23,97028,0,10000,8.49,0.1,2,681,0
22,91299,0,8000,12.21,0.09,2,608,0
22,96964,1,10000,8.49,0.1,4,560,0
24,90756,2,15000,12.21,0.17,3,673,0
26,96823,3,10000,8.49,0.1,4,563,0
25,97200,3,10000,10.37,0.1,2,662,0
24,89871,0,10000,14.54,0.11,2,660,1
25,97144,3,10000,11.12,0.1,3,614,0
22,91225,2,4800,8,0.05,2,634,0
26,97169,4,10000,12.73,0.1,4,588,0
23,90831,0,15000,11.14,0.17,4,687,0
24,83922,0,4900,10.96,0.06,2,622,1
25,91023,3,7500,12.61,0.08,4,621,0
23,91076,0,6000,8,0.07,2,675,0
25,89780,4,10000,18.43,0.11,3,639,1
24,96930,1,10000,11.14,0.1,4,683,0
23,91099,0,19600,15.13,0.22,3,614,0
23,90920,4,9500,11.01,0.1,4,682,0
25,90923,3,10000,11.34,0.11,2,668,0
26,83898,3,25000,11.01,0.3,3,689,1
24,97044,4,10000,6.62,0.1,2,671,0
24,96898,3,10000,7.9,0.1,4,676,0
25,97316,3,10000,9.62,0.1,4,637,0
23,83749,2,2500,9.64,0.03,3,469,1
23,90810,2,12000,12.49,0.13,4,666,0
23,97239,1,10000,10.59,0.1,2,652,0
25,91275,4,6000,7.51,0.07,4,650,0
24,91485,3,6500,7.14,0.07,2,492,0
24,91445,5,7000,7.49,0.08,3,586,0
26,99465,1,10000,7.29,0.1,4,605,0
24,100041,1,10000,12.21,0.1,4,694,0
22,91593,0,12000,11.01,0.13,4,648,0
25,91719,1,7000,11.36,0.08,2,606,0
23,99940,0,10000,12.21,0.1,3,596,0
26,92017,1,10000,10.39,0.11,2,669,0
24,100312,0,10000,10.59,0.1,3,680,0
22,91822,0,10675,6.62,0.12,3,609,0
24,91764,5,7200,5.99,0.08,2,624,0
25,91717,4,15000,12.68,0.16,2,543,0
23,100820,0,10000,6.54,0.1,3,532,0
22,91696,0,10000,11.01,0.11,4,561,0
22,100832,0,10000,16.29,0.1,4,588,0
25,92033,6,14500,9.63,0.16,4,579,0
23,91653,0,25000,11.12,0.27,4,624,0
24,92020,2,15000,10.38,0.16,2,608,0
22,91732,0,6700,11.83,0.07,2,602,0
25,101670,3,10000,11.01,0.1,4,568,0
25,101952,5,10000,13.49,0.1,2,713,0
23,101542,0,10000,5.99,0.1,2,667,0
23,101527,0,10000,7.49,0.1,4,538,0
26,91870,3,1200,10.25,0.01,2,662,0
23,92517,0,3000,11.03,0.03,4,659,0
25,92187,4,22400,9.99,0.24,4,680,0
25,92196,3,10000,11.99,0.11,3,573,0
26,72265,3,7000,17.88,0.1,2,640,1
23,92326,4,15000,10.62,0.16,2,590,0
25,92527,1,9000,7.74,0.1,3,591,0
26,91993,3,8000,11.83,0.09,3,574,0
23,96024,3,10000,13.99,0.1,3,694,1
24,103144,1,10000,15.21,0.1,4,655,0
21,92076,1,14000,12.69,0.15,3,649,0
23,92232,1,3600,10.65,0.04,3,698,0
24,92305,0,6000,8.9,0.07,3,645,0
24,91953,0,12000,6.03,0.13,2,462,0
22,88591,0,10000,18.25,0.11,2,668,1
24,91967,3,13500,8.49,0.15,4,692,0
24,92126,3,13500,9.99,0.15,3,636,0
26,92004,3,5425,8.49,0.06,3,631,0
22,92112,0,24000,10.99,0.26,2,639,0
22,103003,0,10000,7.66,0.1,3,626,0
22,92561,0,15000,10.99,0.16,3,673,0
24,91871,2,20050,10.59,0.22,2,679,0
24,103033,0,10000,10.37,0.1,4,587,0
23,103216,5,10000,6.17,0.1,4,704,0
26,102771,4,10000,11.01,0.1,2,662,0
24,103017,1,10000,13.72,0.1,2,588,0
25,92136,0,14000,7.66,0.15,3,612,0
25,92027,4,6000,12.98,0.07,2,635,0
25,92250,1,20000,6.54,0.22,4,694,0
24,102812,2,10000,16,0.1,3,601,0
23,88834,2,10000,14.11,0.11,3,642,1
23,103067,4,10000,11.89,0.1,4,677,0
23,92447,0,20000,11.01,0.22,4,635,0
26,103288,0,10000,11.01,0.1,2,675,0
26,103963,2,10000,13.49,0.1,3,658,0
25,104178,5,10000,11.01,0.1,2,615,0
22,105630,4,10000,11.26,0.09,3,613,0
23,92518,0,18000,10.99,0.19,2,675,0
24,92185,2,10000,16,0.11,2,647,1
26,106506,2,10000,12.69,0.09,2,673,0
23,72625,1,20000,11.83,0.28,4,545,1
22,85143,0,25000,13.79,0.29,3,569,1
23,109017,1,10000,12.69,0.09,4,483,0
25,84780,4,15000,13.16,0.18,3,711,1
24,109170,1,10000,11.01,0.09,2,634,0
25,72572,0,3400,11.01,0.05,2,668,1
26,92162,3,7400,7.51,0.08,2,657,0
25,92419,4,3000,11.01,0.03,4,655,0
25,109093,0,10000,12.42,0.09,2,549,0
25,108855,4,10000,7.49,0.09,2,663,0
22,92588,0,18000,7.88,0.19,3,580,0
25,92217,0,3000,11.86,0.03,2,619,0
23,108966,0,10000,7.49,0.09,3,604,0
22,72690,1,20000,17.74,0.28,3,632,1
26,108810,4,10000,7.49,0.09,4,619,0
24,108847,4,10000,11.01,0.09,2,662,0
26,92809,6,6000,7.9,0.06,4,618,0
24,92686,3,12000,11.01,0.13,3,669,0
26,85470,3,14500,7.49,0.17,3,574,1
21,94838,0,10000,15.57,0.11,4,591,1
23,93070,1,4800,7.51,0.05,4,672,0
22,92755,0,15000,11.01,0.16,4,658,0
23,108909,1,10000,7.51,0.09,2,682,0
26,92765,7,24000,12.73,0.26,3,593,0
24,108775,0,10000,11.89,0.09,4,615,0
26,110263,5,10000,11.01,0.09,4,586,0
25,92654,7,14800,19.42,0.16,4,660,0
23,110340,0,10000,10.2,0.09,2,620,0
22,93277,1,6000,6.62,0.06,4,610,0
22,92994,0,12000,8.9,0.13,2,659,0
26,92928,6,12800,6.92,0.14,4,693,0
25,93058,5,6500,5.79,0.07,4,681,0
25,93207,3,20000,11.01,0.21,2,552,0
21,93207,0,8000,14.96,0.09,3,597,0
23,93016,4,10000,9.63,0.11,4,683,0
23,111357,0,10000,11.71,0.09,4,668,0
22,93071,2,13750,11.01,0.15,4,617,0
23,93239,2,25000,11.71,0.27,2,633,0
24,93298,2,12000,12.42,0.13,2,610,0
26,112114,5,10000,13.23,0.09,2,705,0
25,93090,4,12000,7.9,0.13,4,687,0
22,93034,1,12400,7.51,0.13,4,659,0
23,112794,5,10000,14.26,0.09,2,616,0
25,93511,0,9000,6.03,0.1,3,614,0
24,113769,0,10000,18.64,0.09,2,598,0
26,86057,5,6000,15.62,0.07,4,643,1
23,93754,0,3500,5.99,0.04,2,570,0
25,93292,0,3000,7.49,0.03,3,535,0
24,93666,1,4000,11.99,0.04,2,688,0
22,73493,0,35000,16.89,0.48,3,616,1
23,113719,1,10000,9.45,0.09,3,530,0
24,93607,4,3850,11.11,0.04,2,546,0
25,85845,1,10000,16.77,0.12,3,629,1
23,114955,2,10000,6.17,0.09,3,685,0
24,114971,4,10000,11.01,0.09,2,514,0
25,54928,5,10025,5.42,0.18,4,690,0
23,79432,3,10075,13.98,0.13,2,555,0
26,36254,5,10100,13.55,0.28,4,692,1
22,86335,0,3200,10.25,0.04,3,476,1
23,93303,0,10000,7.88,0.11,4,607,0
24,84894,0,10125,14.65,0.12,3,673,0
25,93256,2,8000,15.33,0.09,2,578,0
22,93304,0,21000,11.48,0.23,3,580,0
23,83542,2,10150,11.99,0.12,3,650,0
24,93396,2,14000,8.94,0.15,3,580,0
20,93288,0,6000,8,0.06,2,699,0
26,93205,4,5400,13.04,0.06,3,564,0
24,85978,3,5000,10.39,0.06,2,631,1
23,86383,2,20000,15.13,0.23,2,661,1
26,48728,1,10200,11.01,0.21,3,613,0
26,93171,5,6000,11.99,0.06,4,578,0
25,93550,1,15000,9.63,0.16,2,656,0
23,93766,0,12000,5.79,0.13,3,627,0
24,51505,2,10200,7.49,0.2,4,494,0
23,92836,0,6000,7.88,0.06,2,588,0
24,86114,0,5000,14.96,0.06,3,663,1
25,85860,6,2400,17.04,0.03,3,493,1
25,93471,4,16000,13.92,0.17,2,682,0
20,93599,0,24250,11.36,0.26,2,629,0
25,93539,0,3425,12.18,0.04,2,669,0
22,61055,3,10200,15.21,0.17,4,649,0
23,66845,0,10200,12.73,0.15,2,643,0
22,93687,0,5875,6.17,0.06,3,636,0
24,93928,1,15000,6.17,0.16,3,624,0
23,103347,3,10200,11.01,0.1,3,617,0
22,109242,1,10200,11.71,0.09,3,607,0
24,93869,2,4800,13.79,0.05,4,652,0
24,121313,0,10200,12.99,0.08,4,667,0
24,27144,1,11000,7.51,0.41,2,570,1
26,33578,1,11000,8.9,0.33,3,658,1
23,33663,1,11000,8.59,0.33,4,608,1
22,33467,0,11000,11.48,0.33,4,646,1
21,35951,0,11000,13.49,0.31,2,546,1
21,35906,0,11000,14.22,0.31,2,585,1
23,36293,0,11000,13.49,0.3,4,634,1
25,37973,2,11000,13.72,0.29,2,540,1
26,93880,4,6800,13.06,0.07,4,671,0
23,39329,1,11000,9.91,0.28,3,653,1
25,39586,1,11000,7.66,0.28,3,632,1
23,93740,0,4000,16.77,0.04,4,636,0
23,94096,0,11700,6.17,0.12,3,660,0
23,40324,1,11000,7.66,0.27,2,585,1
25,94541,3,30000,11.01,0.32,4,532,0
23,94522,1,15000,12.99,0.16,4,640,0
23,41221,2,11000,15.65,0.27,3,634,1
25,35933,6,11000,8.49,0.31,2,572,1
24,94542,2,2300,11.01,0.02,4,631,0
23,94721,0,2400,12.42,0.03,2,573,0
24,87477,0,14000,14.65,0.16,4,593,1
25,87409,0,10000,14.27,0.11,3,521,1
24,35610,0,11000,15.05,0.31,4,655,1
24,94719,1,4500,12.69,0.05,3,654,0
23,69334,0,11050,14.74,0.16,4,686,1
23,94286,1,10000,6.62,0.11,2,663,0
25,94373,2,8000,7.9,0.08,4,601,0
22,37114,0,11100,6.62,0.3,4,689,1
23,94440,1,5000,11.71,0.05,2,683,0
26,94795,3,7200,6.62,0.08,2,645,0
24,94545,2,5000,6.62,0.05,4,643,0
24,94382,3,8500,7.51,0.09,4,606,0
22,94261,0,1750,10.65,0.02,4,544,0
22,87346,0,8500,15.96,0.1,2,585,1
22,39709,1,11100,12.21,0.28,3,631,1
25,55254,7,11100,13.11,0.2,2,649,0
23,94436,1,15000,8.49,0.16,2,620,0
22,75908,1,11100,11.01,0.15,3,685,0
23,94649,0,25000,11.01,0.26,4,609,0
26,94802,5,3000,11.49,0.03,2,683,0
26,94305,7,8325,6.99,0.09,4,603,0
23,94705,1,6000,12.99,0.06,3,661,0
21,49102,0,12000,8.9,0.24,2,646,0
22,32242,1,11200,16.89,0.35,3,562,1
24,37959,1,11200,5.79,0.3,4,611,1
23,94617,0,4200,13.06,0.04,3,609,0
24,94416,3,20000,10.37,0.21,2,663,0
25,95090,3,8000,5.79,0.08,2,640,0
25,94757,4,6000,11.01,0.06,4,636,0
22,48970,0,5000,16.29,0.1,4,666,0
23,94701,2,4600,7.66,0.05,2,608,0
24,49199,0,12000,6.03,0.24,4,593,0
24,94627,4,3600,5.42,0.04,4,623,0
23,94603,3,12400,7.29,0.13,3,608,0
26,44045,0,11200,11.01,0.25,3,577,1
26,94429,4,12000,13.43,0.13,4,616,0
25,38201,5,11200,17.27,0.29,4,659,1
22,49325,0,11200,7.88,0.23,2,631,0
24,50877,4,11200,10.62,0.22,3,561,0
22,94894,0,12000,6.54,0.13,3,681,0
21,51356,0,11200,16.77,0.22,4,686,0
25,94872,1,10000,5.79,0.11,2,642,0
23,94604,0,6000,6.91,0.06,4,653,0
22,51474,0,11200,11.01,0.22,4,692,0
26,94449,1,1750,10.36,0.02,2,665,0
23,54931,5,11200,10.59,0.2,2,692,0
25,94552,4,14000,7.51,0.15,3,631,0
23,87613,0,12000,13.61,0.14,2,638,1
24,55068,2,11200,12.04,0.2,3,624,0
26,94519,6,2400,14.72,0.03,3,544,0
22,94772,2,15000,7.88,0.16,3,640,0
23,94631,0,25000,15.58,0.26,3,624,0
25,94447,5,2400,11.86,0.03,4,681,0
24,94441,1,9800,10.99,0.1,3,600,0
23,95079,0,1000,9.88,0.01,3,620,0
24,61074,6,11200,13.85,0.18,3,705,0
23,87097,3,19000,11.01,0.22,2,705,1
22,63497,2,11200,6.62,0.18,4,624,0
23,94912,2,6150,7.88,0.06,2,595,0
23,65978,0,11200,13.99,0.17,2,656,0
22,94543,0,18000,10.99,0.19,3,611,0
22,94527,0,7750,7.51,0.08,4,678,0
22,94614,0,16000,16.45,0.17,2,615,0
22,94274,1,16000,16.45,0.17,3,671,0
24,94374,4,14500,7.51,0.15,4,616,0
23,72891,4,11200,10.78,0.15,3,655,0
24,94594,1,25000,12.18,0.26,4,579,0
24,74290,1,11200,9.99,0.15,3,620,0
22,74446,0,11200,6.62,0.15,4,591,0
22,94716,0,4000,7.74,0.04,4,662,0
25,95103,3,14200,11.48,0.15,3,607,0
22,70461,2,11200,13.16,0.16,3,661,1
24,94537,5,8000,13.22,0.08,2,606,0
23,94542,0,16000,11.89,0.17,3,556,0
22,94507,4,9600,10.95,0.1,2,667,0
25,74586,3,20000,14.74,0.27,2,649,1
25,82824,3,11200,11.99,0.14,2,584,0
22,84200,0,11200,11.01,0.13,2,616,0
24,86141,1,11200,11.36,0.13,3,600,0
24,74778,0,13500,10.83,0.18,2,613,1
22,94809,1,5600,11.01,0.06,2,668,0
25,87005,1,11200,10.36,0.13,2,700,0
25,94406,4,25000,9.64,0.26,4,624,0
26,94975,1,11200,11.71,0.12,3,628,0
25,97175,2,11200,11.01,0.12,3,631,0
25,95110,1,6000,6.54,0.06,3,679,0
25,99301,0,11200,5.42,0.11,4,670,0
23,74518,4,15000,16.82,0.2,3,673,1
24,105563,2,11200,11.01,0.11,4,599,0
24,95403,0,4000,5.42,0.04,3,645,0
22,94937,0,5000,17.49,0.05,3,560,0
24,95061,3,17400,13.48,0.18,2,660,0
26,121008,2,11200,13.98,0.09,2,696,0
22,95030,0,17500,10.65,0.18,2,621,0
26,95021,3,8000,11.49,0.08,4,542,0
24,94980,4,6000,7.49,0.06,4,646,0
23,95370,3,7200,7.49,0.08,3,568,0
25,87937,5,16000,15.28,0.18,4,607,1
23,95339,0,4800,7.14,0.05,4,552,0
24,132879,0,11200,7.49,0.08,4,627,0
25,94842,4,16000,7.88,0.17,2,648,0
24,217203,2,11200,5.79,0.05,4,605,0
25,54968,2,11250,9.38,0.2,2,630,0
25,90901,3,11250,11.01,0.12,3,653,0
22,87970,1,5900,7.49,0.07,3,610,1
26,75051,2,10000,14.83,0.13,4,575,1
21,42887,1,11300,13.49,0.26,3,698,1
26,51293,3,11300,13.22,0.22,4,617,0
25,95321,3,10000,9.62,0.1,2,500,0
22,95389,0,5500,14.61,0.06,4,657,0
23,95570,0,20000,12.42,0.21,3,647,0
26,95456,1,17500,11.83,0.18,2,612,0
22,88250,0,7500,11.01,0.08,2,561,1
22,55444,2,11300,13.48,0.2,2,686,0
22,95413,0,10000,11.11,0.1,2,640,0
23,86281,1,11300,7.49,0.13,2,591,0
21,35797,0,11325,9.91,0.32,3,527,1
22,95754,1,10375,6.62,0.11,4,633,0
23,95883,0,17825,6.62,0.19,2,588,0
25,43899,2,11325,12.69,0.26,4,607,1
24,95660,1,8000,5.99,0.08,3,649,0
25,36999,1,11400,7.51,0.31,4,627,1
26,51139,1,11400,7.66,0.22,3,515,0
24,52528,4,11400,11.01,0.22,2,632,0
25,95504,3,14000,6.92,0.15,2,698,0
22,95854,0,35000,13.8,0.37,2,663,0
22,60808,0,11400,17.58,0.19,4,664,0
23,72808,2,11400,15.23,0.16,4,642,0
25,95818,3,10000,5.79,0.1,2,641,0
25,95997,1,20000,6.91,0.21,3,590,0
22,75094,1,2000,13.35,0.03,4,579,1
24,78745,2,11400,11.89,0.14,3,711,0
24,88506,3,11400,14.84,0.13,4,577,1
25,95574,6,9000,6.76,0.09,4,521,0
25,75111,1,18300,10.62,0.24,3,471,1
22,96198,0,10000,10.99,0.1,2,637,0
23,95789,0,3200,7.88,0.03,2,614,0
23,130366,3,11425,10.37,0.09,3,678,0
23,95940,1,16000,12.73,0.17,4,701,0
22,95977,0,11000,13.11,0.11,4,618,0
26,95819,4,14000,13.57,0.15,3,683,0
25,95854,2,14500,11.48,0.15,3,541,0
26,96166,6,18500,11.01,0.19,3,703,0
25,95890,3,15000,13.79,0.16,2,625,0
25,95513,6,7500,10.01,0.08,3,606,0
23,96049,0,3300,5.42,0.03,3,680,0
24,29585,1,11500,7.51,0.39,3,599,1
26,95946,2,6075,6.03,0.06,2,600,0
24,96024,0,3800,6.62,0.04,4,591,0
23,96469,0,5000,5.42,0.05,3,556,0
23,96271,0,8000,7.88,0.08,4,555,0
22,95716,0,4750,10.25,0.05,3,594,0
26,96034,1,10000,12.23,0.1,3,646,0
24,96497,1,12000,9.88,0.12,4,569,0
25,75848,7,20000,15.05,0.26,3,564,1
26,96128,4,6000,11.36,0.06,2,647,0
26,96450,4,8000,12.53,0.08,4,524,0
26,41867,6,11500,6.62,0.27,3,551,1
22,96401,0,7000,7.74,0.07,3,548,0
21,42004,2,11500,15.31,0.27,2,537,1
24,96524,3,7200,14.17,0.07,3,593,0
26,96162,5,7200,9.99,0.07,3,653,0
25,96605,5,10000,11.01,0.1,4,656,0
24,97058,6,12000,13.49,0.12,4,692,0
23,48994,3,13000,7.29,0.27,4,577,0
25,97118,4,10000,6.03,0.1,2,599,0
23,96641,1,6000,11.01,0.06,3,571,0
23,41691,3,11500,11.49,0.28,2,559,1
23,97132,1,24000,16.32,0.25,3,549,0
23,48862,0,3000,7.66,0.06,3,573,0
26,89537,6,15000,9.91,0.17,3,631,1
26,51270,2,11500,10.95,0.22,4,647,0
26,96895,3,12000,16.29,0.12,2,694,0
24,51549,4,11500,7.88,0.22,2,678,0
25,96869,2,4000,19.03,0.04,3,624,0
25,96889,2,6000,7.9,0.06,3,489,0
25,51035,1,11500,13.79,0.23,3,668,0
24,96898,0,10000,11.01,0.1,2,619,0
26,55990,2,11500,11.78,0.21,4,679,0
25,56116,4,11500,12.53,0.2,4,627,0
23,97209,5,15000,12.42,0.15,2,591,0
26,76600,3,11000,7.9,0.14,3,680,1
26,69267,4,11500,7.51,0.17,3,717,0
25,96851,1,25000,13.49,0.26,2,665,0
22,48717,0,8000,5.79,0.16,2,709,0
24,75875,1,11500,5.79,0.15,3,616,0
23,96697,2,24000,11.71,0.25,3,650,0
24,97123,2,18000,7.9,0.19,2,683,0
24,76641,4,11500,14.79,0.15,2,661,0
24,83124,3,11500,11.01,0.14,2,692,0
23,84953,1,11500,11.86,0.14,3,674,0
24,97184,3,8000,11.01,0.08,4,601,0
24,97152,4,10000,8.9,0.1,4,687,0
24,89416,2,11500,10.74,0.13,3,583,0
25,97057,0,4000,6.62,0.04,2,601,0
24,96736,0,12000,6.62,0.12,2,636,0
26,95695,3,11500,11.99,0.12,3,606,0
25,89915,3,18000,7.9,0.2,2,628,1
24,150969,1,11500,10.38,0.08,2,607,0
24,50597,2,11525,12.99,0.23,3,704,0
25,94576,2,11550,16.77,0.12,2,644,1
22,48731,4,11575,11.01,0.24,3,675,0
25,96972,5,12800,11.01,0.13,3,635,0
22,97116,0,9500,11.71,0.1,2,654,0
26,85001,8,11600,6.99,0.14,3,671,0
26,97300,5,4200,14.27,0.04,4,625,0
26,86443,4,11600,10.99,0.13,2,674,0
23,49208,0,11650,11.99,0.24,4,569,0
22,96679,0,16000,12.42,0.17,4,507,0
23,70804,3,11650,13.47,0.16,2,642,0
26,37163,2,11700,11.71,0.31,2,610,1
24,96932,4,7000,14.65,0.07,4,528,0
25,97046,2,6000,6.03,0.06,4,676,0
25,96637,0,4900,15.27,0.05,4,617,0
26,96844,5,7000,6.03,0.07,4,629,0
22,89940,0,4000,7.51,0.04,3,536,1
25,97283,0,18200,7.9,0.19,2,630,0
22,79926,0,11750,17.14,0.15,2,616,1
25,97162,4,5000,7.51,0.05,3,610,0
22,54380,1,11775,13.49,0.22,4,578,0
22,42812,0,11800,10.95,0.28,2,676,1
25,97093,5,10000,11.01,0.1,4,606,0
24,49052,4,11800,6.92,0.24,4,550,0
25,97173,0,3000,6.03,0.03,2,669,0
23,51223,4,11800,12.69,0.23,2,631,0
26,92282,4,11800,13.11,0.13,3,640,0
22,113829,1,11800,13.99,0.1,4,609,0
23,97004,5,7000,16.29,0.07,3,663,0
22,52086,0,11850,14.11,0.23,2,699,1
25,61137,2,11875,10.65,0.19,2,638,0
23,42804,3,11900,7.66,0.28,3,656,1
25,97100,3,11000,6.62,0.11,3,612,0
21,60997,0,11975,11.01,0.2,3,601,0
23,96867,0,22000,10.65,0.23,2,627,0
23,97136,0,2000,7.9,0.02,4,624,0
24,97266,0,2000,15.27,0.02,3,598,0
25,25129,0,12000,8.07,0.48,4,593,1
22,97417,0,35000,11.01,0.36,2,571,0
25,97393,1,12000,5.99,0.12,2,614,0
24,96739,1,2200,13.49,0.02,4,626,0
23,89626,0,25975,11.01,0.29,2,634,1
22,29505,0,12000,14.79,0.41,2,623,1
24,29658,3,12000,10.36,0.4,4,648,1
25,29739,0,12000,12.17,0.4,4,681,1
24,97315,0,5000,6.99,0.05,4,569,0
22,30519,0,12000,9.63,0.39,3,669,1
23,96779,0,10000,11.01,0.1,2,540,0
24,32293,1,12000,7.9,0.37,2,632,1
25,32160,1,12000,11.99,0.37,3,647,1
25,97065,2,14000,15.62,0.14,4,670,0
24,32476,0,12000,14.26,0.37,3,523,1
24,97155,2,5550,8.49,0.06,2,692,0
21,97167,0,12000,5.99,0.12,2,669,0
24,96783,3,2500,11.49,0.03,2,635,0
23,34196,4,12000,14.27,0.35,4,722,1
24,96612,0,3000,6.99,0.03,2,640,0
22,96971,0,16000,11.99,0.16,3,522,0
24,35822,0,12000,15.05,0.33,2,618,1
23,97138,1,9000,7.49,0.09,4,664,0
23,97101,0,8000,10.99,0.08,3,606,0
24,36489,0,12000,7.66,0.33,3,636,1
26,97339,7,5000,11.01,0.05,3,619,0
25,97318,5,15500,11.01,0.16,3,674,0
22,36827,0,12000,10.99,0.33,3,677,1
24,97159,2,5000,15.62,0.05,2,695,0
21,36918,0,12000,5.79,0.33,3,665,1
24,36965,0,12000,6.91,0.32,3,517,1
23,97085,3,3000,5.99,0.03,3,553,0
25,96922,3,2700,10.59,0.03,4,643,0
24,97142,1,12000,7.49,0.12,3,660,0
23,97031,0,4000,15.23,0.04,3,579,0
22,37237,0,12000,13.72,0.32,2,551,1
23,96951,2,5500,5.42,0.06,2,655,0
22,36837,0,12000,14.46,0.33,2,579,1
24,97223,3,12000,13.99,0.12,3,558,0
22,37024,1,12000,10.62,0.32,3,496,1
24,96884,3,9000,11.01,0.09,4,696,0
23,97181,0,4000,5.99,0.04,4,586,0
24,37001,0,12000,11.48,0.32,3,585,1
25,36905,3,12000,11.48,0.33,4,561,1
22,37021,3,12000,9.32,0.32,3,583,1
22,96867,0,4800,10.99,0.05,4,632,0
25,96986,2,10000,7.49,0.1,4,705,0
23,96721,1,6000,5.99,0.06,4,661,0
26,97033,3,10800,11.99,0.11,3,594,0
21,97216,0,5000,12.99,0.05,2,567,0
22,38399,0,12000,10.25,0.31,4,702,1
25,97196,3,20000,15.62,0.21,3,600,0
24,89984,2,35000,20,0.39,3,639,1
25,97200,1,10250,5.42,0.11,4,521,0
22,39035,2,12000,10.39,0.31,2,566,1
22,38823,0,12000,5.42,0.31,2,604,1
22,97055,0,1500,10.37,0.02,2,643,0
26,89599,4,24000,10.74,0.27,3,585,1
24,38953,1,12000,7.51,0.31,2,653,1
22,89796,0,19000,20,0.21,2,670,1
23,89594,0,2100,11.01,0.02,4,690,1
23,96764,0,4800,7.29,0.05,4,681,0
24,39563,3,12000,7.29,0.3,2,554,1
22,97112,0,7250,11.01,0.07,3,558,0
24,39360,3,12000,13.85,0.3,3,680,1
26,89743,2,16800,16.4,0.19,4,609,1
24,39039,0,12000,12.87,0.31,2,668,1
26,39424,4,12000,8.94,0.3,3,578,1
21,39750,0,12000,11.01,0.3,4,681,1
25,97019,4,14625,12.68,0.15,4,607,0
22,40113,2,12000,11.49,0.3,2,691,1
23,40403,0,12000,8.49,0.3,3,612,1
25,96993,3,12000,10,0.12,4,549,0
22,41274,3,12000,13.98,0.29,3,717,1
24,96975,4,25000,14.46,0.26,2,619,0
23,41481,0,12000,13.11,0.29,4,646,1
22,41002,0,12000,9.91,0.29,4,604,1
21,41107,0,12000,11.12,0.29,3,659,1
26,97115,3,6300,5.79,0.06,4,635,0
24,41528,5,12000,11.71,0.29,4,596,1
24,96935,1,20000,6.54,0.21,4,605,0
23,96579,0,9000,9.62,0.09,2,560,0
25,97083,2,13000,6.54,0.13,3,613,0
26,41702,6,12000,14.96,0.29,3,617,1
24,97043,1,16000,6.17,0.16,4,558,0
25,97261,5,12000,6.91,0.12,2,615,0
26,96837,4,18000,5.79,0.19,4,636,0
23,41807,1,12000,12.84,0.29,4,612,1
25,97019,4,18000,5.79,0.19,2,662,0
26,96954,4,2000,6.91,0.02,3,669,0
25,97172,5,3000,6.17,0.03,4,606,0
25,96697,1,25000,10.36,0.26,3,594,0
25,97044,1,10000,5.79,0.1,4,626,0
24,41572,1,12000,10.62,0.29,3,677,1
22,49144,0,6000,8,0.12,3,658,0
26,41730,3,12000,10.39,0.29,2,646,1
22,42266,1,12000,14.84,0.28,2,644,1
24,42503,0,12000,10.38,0.28,2,601,1
23,96661,0,25000,9.99,0.26,3,650,0
25,97470,1,15000,12.61,0.15,4,660,0
24,97367,4,16000,7.88,0.16,2,721,0
22,96754,0,2000,14.72,0.02,3,694,0
22,43305,1,12000,11.01,0.28,2,642,1
25,48719,1,6000,13.47,0.12,3,632,0
21,49039,0,15000,13.16,0.31,2,628,0
23,90015,0,10000,11.01,0.11,3,632,1
22,42765,0,12000,11.71,0.28,4,584,1
23,43125,0,12000,10,0.28,4,667,1
24,42823,0,12000,6.54,0.28,2,637,1
26,42791,5,12000,10.91,0.28,2,568,1
23,97443,0,8000,15.58,0.08,4,620,0
24,97188,0,24000,14.35,0.25,3,613,0
26,96820,5,4900,6.76,0.05,3,699,0
25,35707,0,12000,12.84,0.34,4,559,1
24,43450,6,12000,7.29,0.28,4,574,1
25,96561,0,10000,14.72,0.1,3,625,0
24,49116,0,2000,12.53,0.04,4,619,0
25,44080,7,12000,9.91,0.27,3,694,1
26,37294,7,12000,11.11,0.32,3,581,1
23,97019,1,4000,7.51,0.04,3,650,0
24,96893,0,18000,7.51,0.19,3,537,0
